,News,Category
4651,Can Kohli rip Dhoni apart? Twitter reactions.The Test captain may be eager to wear the skipper's crown in the ODI format too but Captain Cool is not done yet. Or is he?,sports
18247,America is on India's side against Pakistan terror.It's important from India's point of view that Obama administration makes an explicit course correction in its approach to India-Pakistan scene.,politics
2933,"Baba blacksheep: When law reaches our godmen before God.Religion within India is much like Bollywood is for India abroad. Take Ramdev's Z security, or Rampal non-bailable warrant.",humour
3650,Apple’s announcements at WWDC reveal which way the company is headed.The biggest deal is that iOS 10 will make the 3D touch functionality a lot more useful on iPhones.,tech
4874,"Dhoni, your poor excuses are a joke.The Indian captain's comments on confusion and unrest in the dressing room are indeed laughable.",sports
2303,"Make cow the national animal of India.If there is one person who can do this, it is PM Narendra Modi.",humour
18967,Clean India: Modi brings the mirror.Following in Bapu's footsteps was difficult because the man loved walking. Modi dares to walk by beginning with the talk.,politics
388,"Golden jubilee of 'Padosan': A 'simple' film Indian cinema will always love.Even fifty years after its release, this timeless film is as funny and enjoyable as it was back then.",Arts
18856,"Why India-Vietnam ties are important.India has to exhibit boldness, pragmatism and imagination to cement ties with Vietnam.",politics
3915,"The number 4 dilemma.As India takes on Australia today in the ICC World Cup, and one problem still plagues them: the no. 4 slot. India found no answers in the lead up to the World Cup.",sports
176,"The Tashkent Files: Vivek Agnihotri reminds us how, between Nehru and Indira, we forgot Shastri.Agnihotri makes an attempt to point to how easy it has been to wipe out Shastri's life (even death) from public memory.",Arts
2931,"Rampal the rascal: The great vanishing Baba trick.The hinterland is where the Babas rule, faith shines brighter in darker and denser regions of the country, be it the north or south.",humour
1996,"Deepika-Ranveer wedding: Why Indian celebs have to go to Italy to get married.What is the big fat Indian wedding, if the venue is Italy?",humour
4198,#IndVsAus: Indian spinners need to emulate Nathan Lyon.To say that the Indians don't know how to play spin would be stating the obvious these days.,sports
18253,What makes Arun Jaitley's visit to Jayalalithaa more curious.Political voices are indulging in crystal ball gazing to see if an alliance is in the offing for 2016 between BJP and AIADMK.,politics
18623,"Mamata vs BJP: Expect more bamboos and barbs.Facing the heat because of the Saradha scam and Burdwan blast, the West Bengal CM isn't losing any opportunity to lash out at her opponents.",politics
319,"That extra cheese: The magic ingredient in Rohit Shetty's superhit track record.In an age when filmmakers are turning to subtlety and seeking global critical acclaim, Shetty rejoices in ribald Bollywood tropes and OTT comedy.",Arts
18706,"Dear ToI lit fest, if you did not want extraneous noise, why did you invite Tarun Tejpal?.The newspaper has sensationalist bravado followed by lily-livered pusillanimity.",politics
4771,Cricket World Cup 2015: Can De Villiers get the Proteas to the finals?.This is the batsman's first time as the skipper at the tournament.,sports
4145,"How the India-Pakistan Champions Trophy cricket match impacts us.There would be tensions, especially in areas where religious divides remain.",sports
4280,More than history riding on Ryder Cup 2016.Golf is so inherently unpredictable in nature that cricket’s famous maxim of 'glorious uncertainties' appears almost an apology.,sports
2127,"Padmaavat makes me wonder: Which historical figure should I burn down the theatre for?.Shah Jahan would be a strong contender, I suppose.",humour
18703,"J&K poll: BJP to have vision statement, not manifesto.Five reasons why the BJP is willing to sacrifice Article 370.",politics
3697,"10 exciting things to look forward to at Auto Expo.You will be spoilt for choice, as top automobile companies showcase their wares.",tech
1804,Black money: How government can increase tax compliance.There is a need to reduce dominance of cash transactions and encourage electronic banking to enhance technological surveillance.,business
2788,Leave me alone: All your Rahul Gandhi vacation questions answered.People jealous of Congress vice-president's life are mocking his leave application. This mockery will not stand.,humour
4781,If Virat Kohli is the star of #IndVsBan then Rohit Sharma is the hero on Twitter.The excitement is palpable on social media for the second quarter-final match between India and Bangladesh.,sports
18796,"Cabinet expansion: Rajasthan gets its due, almost.Inclusion of Sanwar Lal Jat and Rajyavardhan Singh Rathore in Modi's first Cabinet expansion. Both had defeated heavyweight Congress ministers.",politics
726,Anti-Trump and pro-sh*thole countries: The 2018 Grammys was political.It is not just the awards that matter at the event; it’s also the performances.,Arts
4451,Pakistan in best place to knock India out of World T20.They are clear favourites and Team India is looking vulnerable.,sports
1849,"Happy Birthday, Rahul Gandhi! Let's reflect on the year that was.Do some hard thinking. Maybe you do not have the mettle, and the nastiness, required to be a politician in South Asia. Maybe you didn’t want it in the first place.",humour
352,Simba returns with a gazillion views. What pulls us towards The Lion King still.'The Lion King' teaser trailer records 238 million views in 24 hours. The highest for any Disney movie,Arts
1612,"Arvind Panagariya is exactly what Modi wants in an RBI governor.He is also most likely to stick to his brief, unlike Raghuram Rajan.",business
3455,4G speeds in India even slower than Pakistan: Is Jio to blame?.We are in a bad place.,tech
4918,Inspiration for Virat Kohli.The Indian batsmen could take serious tips from Sachin Tendulkar and Sydney.,sports
3553,"Many legitimate websites are banned in India. Here's how to unblock them.Since there is no proper procedure in the country for internet practices, the list of websites you can’t access in India has only grown.",tech
819,"How I fell in love with kushari — Egypt's khichdi — in Cairo.A rather unusual choice for a national dish in a country full of eateries serving kababs, koftas and, ahem, grilled pigeons stuffed with rice.",Arts
4151,Why you should watch 'Sachin a Billion Dreams' with your mother.And keep an empty bottle handy.,sports
4754,"Badminton: Saina Nehwal has a shot at becoming World No 1. Cheer for her?.In between the Hyderabad-based player and the crown will stand the game's new sensation - Carolina Marin, the current world champion.",sports
2936,"Unbearable lightness of Modi's Mann Ki Baat.Narendra Modi's fetish for Mann Ki Baat tells us this is an era of rhetoric, not facts.",humour
4735,Tweet of the day: Saina Nehwal on becoming World No 1.The Indian shuttler achieved the feat following the loss of All England badminton champion Carolina Marin in the first semifinal of the India Open Super Series on February 28.,sports
155,"Karan Johar: The man, the cinema and the persona.With 'Student of the Year-2' all set to hit the big screen on Friday (May 10), a look at Karan Johar's journey in Bollywood, pop culture and his own persona.",Arts
1555,"Boycotting Chinese goods will have no major impact on India-China trade.Devina Gupta, principal correspondent of India Today TV, digs out the numbers.",business
4075,"Indian hockey is going good, but can get better.With a new coach in command, the team has performed well in the Asia Cup, but needs to step up to match European teams.",sports
3242,"Journey to the future: How Elon Musk is shaping the world around us.The SpaceX and Tesla CEO will change our futures, one rocket launch at a time.",tech
18786,"Has Obama become a lame duck president.With the mid-term election rout, the US President has no option but to appease the war-mongering Republicans.",politics
18530,Why Vajpayee wouldn't have banned Christmas holiday.Good governance also means inclusive governance. Atal Bihari Vajpayee knew this. The RSS and Smriti Irani don't.,politics
3582,"Full text of Mukesh Ambani's big Reliance Jio announcement.The RIL chairman announced a new 'Happy New Year' offer: free services to be extended till March 31, 2017.",tech
3273,5 tech trends to watch out for in 2018.Get truly plugged into the future.,tech
1385,Modi can improve India's GDP if he shifts focus from beef and Hindutva to reforms.Government data for the fourth quarter proves that it was premature to shrug off the impact of demonetisation.,business
3648,Apple to lose fans because of tough privacy laws.The tech giant's uncompromising stand on user data and data mining can lead to many users moving away from its products.,tech
3710,India needs to celebrate its scientists with glitz and glamour.Everything about the third Breakthrough Prize ceremony held last week was mega. We must take cue from the event.,tech
323,"I haven't watched Zero yet, but I know Shah Rukh Khan can even go beyond Mars.The way Khan looks at the world, his career, his shortcomings is what makes listening to Khan a pleasure any time, any day, anywhere.",Arts
3069,What does the massive Aadhaar breach mean for all?.The Unique ID is compromised. There are no two ways to look at it.,tech
3391,Why Nokia 8 is not worth it.HMD Global's latest handset fails to stand out in the market influencing high-end flagship segment.,tech
1543,Cyrus Mistry sacking from Tata: Tale of family discord since 1930s.Will India's most prestigious firm consider to hand over reins to an outsider again?,business
3666,Why the Rs 99 smartphone Achhe Din by Namotel is just another scam.They are not the phones that you can buy but can only pre-book them.,tech
2270,"10 features of Rs 2,000 note that India must thank Modi for.The new currency notes can detect if it is Arvind Kejriwal at the ATM and will immediately make the machine stop functioning.",humour
3677,"Why licence for Google Maps could be good news for India.It could bolster Indian Regional Navigation Satellite System, which is our recently launched answer to GPS.",tech
1842,Sona Kitna Sona Hai: Gold is set to become more expensive and we can’t help but sympathize with these 4 people.Sone Jaisa Inka Mann: These celebrities have a soft corner in their hearts for all things ‘gold’ but their dreams will soon be shattered.,humour
2057,PM Modi's new exercise and yoga video has lit the internet on fire with memes.People may not have taken up the 'Fitness Challenge' but they happily challenged themselves to outdo the funny with the funnier.,humour
357,"How would Bauua Singh woo a lady? Like Shah Rukh Khan, of course.Arms spread, dimpled cheeks, earnest gaze — Bauua is quintessentially Shah Rukh Khan",Arts
3865,"Pollution jalebi to Dhoni criticism, Gautam's gambhir samasya.Ace cricketer Gautam Gambhir, known for his poor judgement on the pitch, leaves much to be desired in his politician avatar.",sports
